gene,SRR33374996,SRR33375001,SRR33374995,SRR33374999,SRR33374997,SRR33375000
ACP4,0.0,0.0,0.0,0.0,0.0,0.0
ACP5,0.136014,0.265782,0.066934,0.341382,0.057595,0.097832
ACP6,15.535692,14.832207,14.850104,13.989980000000001,13.046319,16.570052
ACP7,0.056328,0.109293,0.156921,0.110403,0.105344,0.062496
ACR,0.046614,0.0,0.25527199999999994,0.533188,0.250072,0.278147
ACRBP,0.287296,0.551713,0.686019,1.050234,0.751123,0.70628
ACRP1,0.0,0.0,0.0,0.0,0.0,0.0
ACRV1,0.064969,0.0,0.0,0.0,0.0,0.0
ACSBG1,0.206872,0.101715,0.028703,0.210259,0.185348,0.07983
ACSBG2,0.0,0.0,0.0,0.019648,0.0,0.0
ACSF2,19.178374,17.596293,15.799372,15.290659,16.733969,16.433326
ACSF3,26.413311,30.853813000000002,32.351936,15.910098,17.311377,24.280054
ACSL1,32.737442,32.410528,34.368473,28.347944,27.818540000000002,28.230204
ACSL3,49.744273,50.506541,55.84465,27.445851,28.695031,27.396525
ACSL3-AS1,0.0,0.0,0.0,0.0,0.0,0.0
ACSL3P1,0.0,0.0,0.0,0.0,0.0,0.0
ACSL4,29.638354,24.250761999999998,29.554924,15.79207,16.661694,17.218317
ACSL5,0.0,0.0,0.0,0.0,0.0,0.0
ACSL6,1.955524,1.8253599999999999,2.36301,2.68356,2.926669,4.253299999999999
ACSL6-AS1,0.0,0.0,0.0,0.0,0.0,0.0
ACSM1,0.0,0.0,0.0,0.0,0.0,0.0
ACSM2A,0.055247,0.091787,0.19349899999999998,0.0,0.034527,0.0
ACSM2B,0.035917,0.0,0.05022,0.0,0.0,0.0
ACSM3,0.063481,0.33431,0.482325,0.108637,0.0,0.187051
ACSM4,0.0,0.0,0.0,0.0,0.02358,0.023443
ACSM5,0.0,0.0,0.0,0.0,0.0,0.0
ACSM5P1,0.0,0.0,0.0,0.0,0.0,0.0
ACSM6,0.0,0.0,0.0,0.0,0.0,0.0
ACSS1,0.0,0.0,0.056848,0.0,0.0,0.0
ACSS2,32.606566,38.828133,36.286178,21.892512,24.59197,19.721629
ACSS3,0.01876,0.0,0.034333,0.013651,0.0,0.0
ACTA1,0.071733,0.057062,0.07314000000000001,0.0,0.100475,0.0
ACTA2,7.970661000000001,5.852651,8.016813,5.372343,5.104799,5.2087900000000005
ACTA2-AS1,0.173156,0.395181,0.191762,0.0,0.016212,0.091051
ACTB,3007.813755,3029.512875,2920.211897,1182.760043,1259.20514,1352.298754
ACTBL2,0.0,0.0,0.0,0.0,0.0,0.0
ACTBP1,0.0,0.0,0.052506,0.0,0.0,0.0
ACTBP11,0.0,0.0,0.0,0.0,0.039319,0.0
ACTBP12,0.0,0.0,0.0,0.0,0.0,0.0
ACTBP14,0.0,0.097608,0.0,0.0,0.051302,0.0
ACTBP15,0.032907,0.0,0.060469,0.082524,0.035741,0.0
ACTBP16,0.122933,0.0,0.0,0.0,0.0,0.0
ACTBP2,0.325841,0.072537,0.099843,0.05987,0.0,0.039262
ACTBP4,0.0,0.045561,0.0,0.0,0.0,0.0
ACTBP6,0.0,0.0,0.0,0.0,0.0,0.0
ACTBP7,0.0,0.076919,0.106577,0.031573,0.0,0.041062
ACTBP8,0.0,0.0,0.0,0.0,0.0,0.0
ACTBP9,0.0,0.0,0.040716,0.036676,0.0,0.047866
ACTC1,0.023844,0.0,0.0,0.0,0.0,0.0
ACTE1P,0.39923,0.287398,0.357699,0.450891,0.271244,0.173139
ACTG1,895.1843700000001,957.39386,911.7752399999999,611.402272,622.092583,676.9442459999999
ACTG1P1,0.0,0.0,0.0,0.0,0.0,0.0
ACTG1P10,0.0,0.200586,0.183234,0.0,0.0,0.0
ACTG1P12,0.047388,0.047853,0.0,0.0,0.0,0.0
ACTG1P13,0.0,0.0,0.0,0.0,0.0,0.0
ACTG1P14,0.035196,0.0,0.195272,0.087396,0.037781,0.076908
ACTG1P15,0.0,0.0,0.0,0.0,0.0,0.0
ACTG1P16,0.0,0.0,0.067242,0.0,0.0,0.0
ACTG1P17,1.096344,2.208173,2.4484950000000003,3.064116,2.701516,2.422307
ACTG1P18,0.0,0.0,0.0,0.0,0.0,0.0
ACTG1P19,0.0,0.041231,0.0,0.0,0.0,0.0
ACTG1P2,0.041635,0.0,0.0,0.034351,0.0,0.0
ACTG1P20,3.297002,2.799079,3.33471,1.485044,2.334333,2.11874
ACTG1P21,0.0,0.0,0.0,0.0,0.0,0.0
ACTG1P22,0.0,0.0,0.0,0.0,0.0,0.0
ACTG1P23,0.0,0.0,0.03829,0.0,0.0,0.0
ACTG1P24,0.159704,0.644846,0.522565,0.459083,0.336985,0.0
ACTG1P25,4.34307,5.575754,5.8659300000000005,2.7288040000000002,1.5211459999999999,3.194208
ACTG1P3,0.100272,0.10111,0.420934,0.248483,0.158949,0.212678
ACTG1P4,0.0,0.0,0.0,0.0,0.0,0.0
ACTG1P9,0.033777,0.11108,0.046678,0.039893,0.033756,0.016741
ACTG2,0.077325,0.157229,0.068556,0.031843,0.0,0.081069
ACTL10,1.121113,1.050045,0.881232,1.021948,1.109434,1.335093
ACTL11P,0.046518,0.091633,0.070273,0.011959,0.030219,0.096018
ACTL6A,90.030274,104.534081,94.73222799999999,64.23115200000001,62.265721,61.794448
ACTL6B,50.866558000000005,45.125584,53.159723,25.846887,28.875422,29.997563
ACTL7A,0.0,0.0,0.0,0.0,0.0,0.0
ACTL7B,0.0,0.0,0.0,0.0,0.0,0.07543
ACTL8,0.307914,0.224188,0.205111,0.233272,0.0,0.099524
ACTL9,0.0,0.0,0.0,0.0,0.0,0.0
ACTMAP,10.078935999999999,8.527354,10.145531,12.254762,12.991470999999999,15.422609000000001
ACTN1,125.631209,136.199205,142.734685,83.217445,91.449378,85.428504
ACTN1-DT,0.0,0.0,0.0,0.142612,0.0,0.0
ACTN2,0.897155,0.902701,0.892478,1.480271,1.266002,1.413556
ACTN3,0.0,0.013513,0.0,0.0,0.02822,0.079887
ACTN4,99.84483499999999,88.83465,92.75559,63.799242,67.578126,70.00431999999999
ACTN4P1,0.02513,0.0,0.0,0.0,0.0,0.0
ACTN4P2,0.0,0.0,0.0,0.0,0.0,0.0
ACTP1,0.0,0.0,0.0,0.0,0.0,0.0
ACTR10,64.469857,82.84742999999999,56.06238,46.527017,58.080314,52.181185
ACTR1A,145.673238,141.60559500000002,144.228645,59.743728999999995,62.189256,64.343317
ACTR1AP1,0.046951,0.0,0.0,0.0,0.0,0.0
