"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ACOT11",214.023663651252,-1.83231890690723,0.171697657397329,1.37964103687549e-26,2.0749736346615e-25
"ACOT13",800.675144292157,-0.448359225377455,0.0965583107234628,3.42715630549928e-06,1.47096490791701e-05
"ACOT2",781.487055294584,0.00921911276529869,0.0896393597077346,0.918084636711257,0.95770530708402
"ACOT4",2.4646201824665,0.0644280010181862,3.79955611930338,0.98647114496555,0.992516237652376
"ACOT7",5468.16205564147,-0.656326490024104,0.0552557249563843,1.54041845426289e-32,2.82057450588136e-31
"ACOT8",530.338156986563,0.389924752072623,0.106054676842041,0.000236327185412791,0.000811251614884889
"ACOT9",1100.14708636233,-0.322022387516237,0.0768817588378409,2.80753778788904e-05,0.000108873431744256
"ACOX1",2567.68237747962,-0.372852390486921,0.0583305240370824,1.63662325694778e-10,1.02456058037049e-09
"ACOX3",597.572447023782,0.43893473378331,0.100531530142478,1.26461448970612e-05,5.10996080623478e-05
"ACOXL",1.58729309218812,-1.61217364493099,1.91747645655584,0.400471839323398,NA
"ACOXL-AS1",31.8285775014825,1.98058133210172,0.429548277068195,4.01031859345474e-06,1.71065048084077e-05
"ACP1",4337.87209966709,-0.16081570257274,0.0529288383752853,0.00237886945978206,0.0070455050828996
"ACP2",1192.67628099676,-0.13255793765637,0.0830343957659913,0.11039460353421,0.214488126092501
"ACP3",1.82100504817482,0.0504200478636275,1.6650265663004,0.975842289193321,NA
"ACP5",7.22673818446533,-0.31831488940762,0.871435444359724,0.714905018263894,0.834974615938275
"ACP6",287.395650552889,0.282515941537987,0.151323618367624,0.0619064365588657,0.132365599986121
"ACP7",6.8163041957263,0.18987126311606,0.850456367375012,0.823334644375021,0.904241743255784
"ACR",10.1673749223783,2.31495074882158,0.875335775240143,0.00817771119114027,0.0220304200242905
"ACRBP",18.2135180948567,1.14737559819674,0.552995587961604,0.0380016623447109,0.0866221329207399
"ACSBG1",4.38426815253979,-1.59791952334519,1.16021691972403,0.168432098875587,0.30154740991868
"ACSF2",531.000699376953,0.536019608975234,0.106396003259988,4.70501250997192e-07,2.19538662468577e-06
"ACSF3",1040.2059292823,-0.299412383816937,0.0808781124483088,0.000213889815844232,0.000738886842912369
"ACSL1",2873.24290059892,0.181089842087529,0.0554779528273227,0.00109782667172474,0.00342458775808065
"ACSL3",3121.82888378702,-0.306754531121446,0.0638798388442798,1.57045152961595e-06,6.96714354507956e-06
"ACSL4",1395.48781498575,-0.269897988558587,0.0833282750000723,0.00119961152546894,0.00372078708699308
"ACSL6",172.729954418539,0.983850062174504,0.174995664473385,1.88606707468702e-08,9.99162768581093e-08
"ACSM2A",2.71783734768519,-2.59832302592235,1.62045635470607,0.108835028693184,0.212101946287638
"ACSM3",2.46422355867467,-0.833542820347767,1.45768783100804,0.567440317200424,0.726865600216955
"ACSS2",1289.64035569509,-0.148775480185717,0.0741924636829307,0.0449348259633438,0.100563181938247
"ACTA1",4.23976753372355,-0.745816820382597,1.29772002378993,0.565485282419596,0.725223630950378
"ACTA2",218.482777625815,-0.0636234471693522,0.165475866293003,0.700616957175912,0.826009664123425
"ACTA2-AS1",4.78260719197207,-2.85473298454499,1.27389558171945,0.0250294827517366,0.0602392534297623
"ACTB",120874.708888761,-0.885459838325585,0.049269017420374,3.23210184243396e-72,1.5880104215475e-70
"ACTBP2",2.60342231376286,-1.96146021149623,1.53658406977138,0.201776379127865,0.347138366349558
"ACTE1P",18.3709223756285,0.17978976830281,0.543672588612945,0.74087493277727,0.852969170155283
"ACTG1",56741.9868771834,-0.177685601549607,0.0468451121614682,0.000148811392334306,0.000525272203664308
"ACTG1P14",2.05903178144167,0.13101047648536,1.62248608085523,0.935643357766551,NA
"ACTG1P17",31.7679738469349,0.799278315231821,0.397545461953229,0.0443747952111156,0.0994925118519871
"ACTG1P20",25.5356129286699,-0.340781458497327,0.44283856849854,0.441573523072908,0.617908437304997
"ACTG1P24",4.38054081886022,-0.35999064944875,1.15954269106899,0.756211812016628,0.862058570620383
"ACTG1P25",120.13539510515,-0.615635120317155,0.210413393142467,0.00343531773822365,0.00990061511630816
"ACTG1P3",4.20698289594153,0.344644514183665,1.10046124728885,0.754142489734651,0.860826135821787
"ACTG1P9",2.8523618679869,-0.70692209132292,1.31678308948904,0.591367511490868,0.744130048537145
"ACTG2",1.7495898684687,-1.079401737243,1.71730999531594,0.529648835820809,NA
