region,target_gene,proxy,n,spearman_rho,p_value,q_value,in_correction_family
Hippocampus,SARAF,gene-level STMN2,36,0.784,1.5973123783737765e-08,9.761353423395301e-08,yes
Hippocampus,CBARP,cryptic STMN2 PSI,36,-0.294,0.0815817312886554,0.169320574372681,yes
Hippocampus,CBARP,gene-level STMN2,36,0.087,0.6151395721773941,0.7506326588832248,yes
Hippocampus,ATP2A2,cryptic STMN2 PSI,36,-0.033,0.846656792134949,0.9087546855512253,yes
Hippocampus,ATP2A2,gene-level STMN2,36,0.63,3.900421228112873e-05,0.0001787693062885067,yes
Hippocampus,ORAI2,cryptic STMN2 PSI,36,-0.081,0.6371263287945987,0.7617814800804986,yes
Hippocampus,ORAI2,gene-level STMN2,36,0.262,0.122470237262811,0.23843763006918955,yes
Hippocampus,STIM1,cryptic STMN2 PSI,36,0.301,0.07397404897234,0.15648356513379616,yes
Hippocampus,STIM1,gene-level STMN2,36,0.241,0.156310938691539,0.2914271738316829,yes
Hippocampus,ORAI1,cryptic STMN2 PSI,36,-0.191,0.2645199661965068,0.44086661032751134,yes
Hippocampus,ORAI1,gene-level STMN2,36,-0.683,4.364419429870558e-06,2.2329587780733085e-05,yes
Hippocampus,ATP2A3,cryptic STMN2 PSI,36,-0.122,0.4782854461847312,0.6455386390223365,yes
Hippocampus,ATP2A3,gene-level STMN2,36,-0.354,0.0342376280878333,0.08559407021958326,yes
Hippocampus,SNAP25,cryptic STMN2 PSI,36,-0.016,0.9269249325590928,0.9440902090879648,yes
Hippocampus,SNAP25,gene-level STMN2,36,0.922,1.300640175542008e-15,1.589671325662454e-14,yes
Hippocampus,GFAP,cryptic STMN2 PSI,36,0.077,0.655007420767473,0.7747399600475486,yes
Hippocampus,GFAP,gene-level STMN2,36,-0.811,1.98086270404031e-09,1.3618431090277132e-08,yes
Hippocampus,STMN2,cryptic STMN2 PSI,36,0.072,0.6748968817604429,0.7921906511273682,yes
Hippocampus,STMN2,gene-level STMN2,36,1.0,0.0,,no
Spinal Cord Cervical,TRPC1,cryptic STMN2 PSI,142,0.021,0.8017633009857432,0.8775518717256892,yes
Spinal Cord Cervical,TRPC1,gene-level STMN2,142,-0.018,0.8311033506549037,0.9051620650696972,yes
Spinal Cord Cervical,SARAF,cryptic STMN2 PSI,142,-0.088,0.2975862951384775,0.46071069677117155,yes
Spinal Cord Cervical,SARAF,gene-level STMN2,142,0.182,0.0306162033268998,0.07832052013858087,yes
Spinal Cord Cervical,CBARP,cryptic STMN2 PSI,142,-0.07,0.4057690457795038,0.5722383978941721,yes
Spinal Cord Cervical,CBARP,gene-level STMN2,142,0.13,0.1216395325998681,0.23843763006918955,yes
Spinal Cord Cervical,ATP2A2,cryptic STMN2 PSI,142,-0.071,0.3997207613648532,0.5707701193927596,yes
Spinal Cord Cervical,ATP2A2,gene-level STMN2,142,0.178,0.0340179694110618,0.08559407021958326,yes
