comparison,gene,n_case,n_control,median_difference_log2CPM,cliffs_delta,p_value,q_value,significant,direction
GSE123496 · Internal capsule,MBP,5,5,-0.8817,-0.36,0.4206349206349206,0.6500721500721501,,decreased
GSE123496 · Internal capsule,PLP1,5,5,-0.3248,-0.28,0.5476190476190477,0.7161172161172161,,decreased
GSE123496 · Parietal cortex,TRPC1,5,5,-0.9218,-0.28,0.5476190476190477,0.8938492063492064,,decreased
GSE123496 · Parietal cortex,SARAF,5,5,-0.3375,-0.04,1.0,1.0,,decreased
GSE123496 · Parietal cortex,CBARP,5,5,-0.4045,-0.2,0.6904761904761905,0.8938492063492064,,decreased
GSE123496 · Parietal cortex,STIM1,5,5,-0.0975,-0.2,0.6904761904761905,0.8938492063492064,,decreased
GSE123496 · Parietal cortex,STIM2,5,5,-0.1185,-0.36,0.4206349206349206,0.8938492063492064,,decreased
GSE123496 · Parietal cortex,ORAI2,5,5,-0.4231,-0.12,0.8412698412698413,0.8938492063492064,,decreased
GSE123496 · Parietal cortex,ORAI3,5,5,0.275,0.12,0.8412698412698413,0.8938492063492064,,increased
GSE123496 · Parietal cortex,ATP2A2,5,5,-0.6832,-0.12,0.8412698412698413,0.8938492063492064,,decreased
GSE123496 · Parietal cortex,ATP2A3,5,5,-0.047,-0.12,0.8412698412698413,0.8938492063492064,,decreased
GSE123496 · Parietal cortex,STMN2,5,5,-0.3638,-0.2,0.6904761904761905,0.8938492063492064,,decreased
GSE123496 · Parietal cortex,UNC13A,5,5,-0.5805,-0.2,0.6904761904761905,0.8938492063492064,,decreased
GSE123496 · Parietal cortex,TARDBP,5,5,0.1098,0.44,0.3095238095238095,0.8938492063492064,,increased
GSE123496 · Parietal cortex,GFAP,5,5,2.0879,0.92,0.0158730158730158,0.2698412698412698,,increased
GSE123496 · Parietal cortex,SNAP25,5,5,-1.3197,-0.2,0.6904761904761905,0.8938492063492064,,decreased
GSE123496 · Parietal cortex,RBFOX3,5,5,-0.1822,-0.2,0.6904761904761905,0.8938492063492064,,decreased
GSE123496 · Parietal cortex,MBP,5,5,-0.2182,-0.12,0.8412698412698413,0.8938492063492064,,decreased
GSE123496 · Parietal cortex,PLP1,5,5,-0.5255,-0.28,0.5476190476190477,0.8938492063492064,,decreased
GSE123496 · TUM BOLGELER (bolge icinde merkezlenmis),TRPC1,25,25,-0.321,-0.226,0.1744003891501825,0.4941344359255171,,decreased
GSE123496 · TUM BOLGELER (bolge icinde merkezlenmis),SARAF,25,25,-0.1239,-0.075,0.65540543793669,0.8829274381248153,,decreased
GSE123496 · TUM BOLGELER (bolge icinde merkezlenmis),CBARP,25,25,-0.0589,-0.043,0.8008578418954853,0.8829274381248153,,decreased
GSE123496 · TUM BOLGELER (bolge icinde merkezlenmis),STIM1,25,25,0.0599,0.069,0.6836702770203351,0.8829274381248153,,increased
GSE123496 · TUM BOLGELER (bolge icinde merkezlenmis),STIM2,25,25,-0.0848,-0.226,0.1744003891501825,0.4941344359255171,,decreased
GSE123496 · TUM BOLGELER (bolge icinde merkezlenmis),ORAI2,25,25,-0.0623,0.037,0.8309905299998261,0.8829274381248153,,increased
GSE123496 · TUM BOLGELER (bolge icinde merkezlenmis),ORAI3,25,25,0.1778,0.181,0.2772314876173122,0.5567537911032105,,increased
GSE123496 · TUM BOLGELER (bolge icinde merkezlenmis),ATP2A2,25,25,-0.0887,-0.174,0.2947520070546409,0.5567537911032105,,decreased
GSE123496 · TUM BOLGELER (bolge icinde merkezlenmis),ATP2A3,25,25,-0.4616,-0.322,0.0523450632731632,0.2224665189109436,,decreased
GSE123496 · TUM BOLGELER (bolge icinde merkezlenmis),STMN2,25,25,0.5909,-0.062,0.7123855280840246,0.8829274381248153,,decreased
GSE123496 · TUM BOLGELER (bolge icinde merkezlenmis),UNC13A,25,25,-0.073,-0.197,0.2365817968821629,0.5567537911032105,,decreased
GSE123496 · TUM BOLGELER (bolge icinde merkezlenmis),TARDBP,25,25,0.1264,0.046,0.7858989168050492,0.8829274381248153,,increased
GSE123496 · TUM BOLGELER (bolge icinde merkezlenmis),GFAP,25,25,1.5513,0.84,3.704514408827082e-07,6.29767449500604e-06,yes,increased
GSE123496 · TUM BOLGELER (bolge icinde merkezlenmis),SNAP25,25,25,0.2134,-0.13,0.4376816780828031,0.7440588527407652,,decreased
GSE123496 · TUM BOLGELER (bolge icinde merkezlenmis),RBFOX3,25,25,-0.0761,-0.021,0.9073219836857066,0.9073219836857066,,decreased
GSE123496 · TUM BOLGELER (bolge icinde merkezlenmis),MBP,25,25,-1.5346,-0.504,0.0023171704877854,0.0196959491461759,yes,decreased
GSE123496 · TUM BOLGELER (bolge icinde merkezlenmis),PLP1,25,25,-0.8966,-0.475,0.0040837137563017,0.0231410446190435,yes,decreased
GSE138614 · MS NAWM vs kontrol WM,TRPC1,21,25,-0.3419,-0.482,0.0054586657857824,0.1037146499298671,,decreased
GSE138614 · MS NAWM vs kontrol WM,SARAF,21,25,0.0148,-0.166,0.3429937009279119,0.7390572983794995,,decreased
GSE138614 · MS NAWM vs kontrol WM,CBARP,21,25,-0.12,0.051,0.7743533094554658,0.8173729377585472,,increased
GSE138614 · MS NAWM vs kontrol WM,STIM1,21,25,0.2348,0.288,0.0981369530905673,0.466150527180195,,increased
GSE138614 · MS NAWM vs kontrol WM,STIM2,21,25,0.0275,0.093,0.5966215396182231,0.8097006609104456,,increased
GSE138614 · MS NAWM vs kontrol WM,ORAI1,21,25,0.2907,0.112,0.522479048078478,0.7636232241146986,,increased
GSE138614 · MS NAWM vs kontrol WM,ORAI2,21,25,0.2128,0.139,0.4272549894438956,0.7390572983794995,,increased
GSE138614 · MS NAWM vs kontrol WM,ORAI3,21,25,0.1924,0.135,0.4402062445882329,0.7390572983794995,,increased
GSE138614 · MS NAWM vs kontrol WM,ATP2A2,21,25,0.0285,0.036,0.8426738928399744,0.8426738928399744,,increased
GSE138614 · MS NAWM vs kontrol WM,ATP2A3,21,25,0.4052,0.192,0.2701706318709441,0.7390572983794995,,increased
GSE138614 · MS NAWM vs kontrol WM,STMN2,21,25,0.5779,0.173,0.3210160322509864,0.7390572983794995,,increased
GSE138614 · MS NAWM vs kontrol WM,UNC13A,21,25,0.72,0.291,0.0937369677891199,0.466150527180195,,increased
GSE138614 · MS NAWM vs kontrol WM,TARDBP,21,25,0.056,0.051,0.7743533094554658,0.8173729377585472,,increased
GSE138614 · MS NAWM vs kontrol WM,GFAP,21,25,0.3167,0.242,0.1647351691105903,0.6259936426202435,,increased
GSE138614 · MS NAWM vs kontrol WM,AIF1,21,25,0.9543,0.147,0.4020289475343434,0.7390572983794995,,increased
GSE138614 · MS NAWM vs kontrol WM,SNAP25,21,25,0.5938,0.128,0.4667730305554733,0.7390572983794995,,increased
GSE138614 · MS NAWM vs kontrol WM,RBFOX3,21,25,0.7488,0.41,0.0182926582427406,0.1737802533060364,,increased
GSE138614 · MS NAWM vs kontrol WM,MBP,21,25,-0.0175,0.051,0.7743533094554658,0.8173729377585472,,increased
GSE138614 · MS NAWM vs kontrol WM,PLP1,21,25,-0.1005,-0.074,0.6752149898578899,0.8173729377585472,,decreased
GSE138614 · MS lezyonlari vs kontrol WM,TRPC1,52,25,-0.5593,-0.594,2.744564519230188e-05,0.0001303668146634,yes,decreased
GSE138614 · MS lezyonlari vs kontrol WM,SARAF,52,25,-0.0293,-0.138,0.3302394681205155,0.5228791578574828,,decreased
GSE138614 · MS lezyonlari vs kontrol WM,CBARP,52,25,0.4385,0.327,0.0210667161965311,0.0500334509667615,,increased
GSE138614 · MS lezyonlari vs kontrol WM,STIM1,52,25,0.5576,0.635,7.209478614418739e-06,6.849004683697802e-05,yes,increased
GSE138614 · MS lezyonlari vs kontrol WM,STIM2,52,25,0.0195,0.085,0.5532602324227853,0.6470129420017463,,increased
GSE138614 · MS lezyonlari vs kontrol WM,ORAI1,52,25,0.3044,0.214,0.1318821906148535,0.2505761621682217,,increased
GSE138614 · MS lezyonlari vs kontrol WM,ORAI2,52,25,0.606,0.382,0.0070930222689009,0.022461237184853,yes,increased
GSE138614 · MS lezyonlari vs kontrol WM,ORAI3,52,25,0.3818,0.366,0.0097662056180551,0.026508272391864,yes,increased
GSE138614 · MS lezyonlari vs kontrol WM,ATP2A2,52,25,0.0641,0.077,0.5902394901707846,0.6470129420017463,,increased
GSE138614 · MS lezyonlari vs kontrol WM,ATP2A3,52,25,0.4408,0.263,0.063608023405229,0.1342836049665946,,increased
GSE138614 · MS lezyonlari vs kontrol WM,STMN2,52,25,-0.1293,-0.091,0.5245155546955529,0.6470129420017463,,decreased
GSE138614 · MS lezyonlari vs kontrol WM,UNC13A,52,25,0.1333,0.043,0.7648175395839272,0.7648175395839272,,increased
GSE138614 · MS lezyonlari vs kontrol WM,TARDBP,52,25,0.1382,0.072,0.6129596292648123,0.6470129420017463,,increased
GSE138614 · MS lezyonlari vs kontrol WM,GFAP,52,25,1.2903,0.565,6.691560739558021e-05,0.0002542793081032,yes,increased
GSE138614 · MS lezyonlari vs kontrol WM,AIF1,52,25,0.3676,0.072,0.6129362860385732,0.6470129420017463,,increased
GSE138614 · MS lezyonlari vs kontrol WM,SNAP25,52,25,-0.1535,-0.125,0.3811797946500261,0.5571089306423459,,decreased
GSE138614 · MS lezyonlari vs kontrol WM,RBFOX3,52,25,0.6701,0.197,0.1654254152333089,0.2857348081302608,,increased
GSE138614 · MS lezyonlari vs kontrol WM,MBP,52,25,-1.0263,-0.64,6.182674608276108e-06,6.849004683697802e-05,yes,decreased
GSE138614 · MS lezyonlari vs kontrol WM,PLP1,52,25,-0.8896,-0.614,1.456882477343745e-05,9.226922356510386e-05,yes,decreased
GSE138614 · DENEK duzeyi (10 MS vs 5 kontrol),TRPC1,10,5,-0.4531,-0.84,0.0079920079920079,0.0379620379620379,yes,decreased
GSE138614 · DENEK duzeyi (10 MS vs 5 kontrol),SARAF,10,5,-0.0183,-0.12,0.7678987678987679,0.7678987678987679,,decreased
GSE138614 · DENEK duzeyi (10 MS vs 5 kontrol),CBARP,10,5,0.1126,0.12,0.7678987678987679,0.7678987678987679,,increased
GSE138614 · DENEK duzeyi (10 MS vs 5 kontrol),STIM1,10,5,0.3915,0.84,0.0079920079920079,0.0379620379620379,yes,increased
GSE138614 · DENEK duzeyi (10 MS vs 5 kontrol),STIM2,10,5,0.3289,0.36,0.3096903096903097,0.5349196258287168,,increased
GSE138614 · DENEK duzeyi (10 MS vs 5 kontrol),ORAI1,10,5,-0.0303,0.12,0.7678987678987679,0.7678987678987679,,increased
GSE138614 · DENEK duzeyi (10 MS vs 5 kontrol),ORAI2,10,5,0.1753,0.52,0.1292041292041292,0.3506969221254936,,increased
GSE138614 · DENEK duzeyi (10 MS vs 5 kontrol),ORAI3,10,5,0.2715,0.44,0.2064602064602064,0.4358604358604359,,increased
