gene,gene_upper,panel,source_lists,categories,source_evidence
CACNA1E,CACNA1E,Tier3_Curated_Calcium_Handling_258,Curated_258,VGCC,Curated_258:VGCC
CACNA1F,CACNA1F,Tier3_Curated_Calcium_Handling_258,Curated_258,VGCC,Curated_258:VGCC
CACNA1G,CACNA1G,Tier3_Curated_Calcium_Handling_258,Curated_258,VGCC,Curated_258:VGCC
CACNA1H,CACNA1H,Tier3_Curated_Calcium_Handling_258,Curated_258,VGCC,Curated_258:VGCC
CACNA1I,CACNA1I,Tier3_Curated_Calcium_Handling_258,Curated_258,VGCC,Curated_258:VGCC
CACNA1S,CACNA1S,Tier3_Curated_Calcium_Handling_258,Curated_258,VGCC,Curated_258:VGCC
CACNA2D1,CACNA2D1,Tier3_Curated_Calcium_Handling_258,Curated_258,VGCC,Curated_258:VGCC
CACNA2D2,CACNA2D2,Tier3_Curated_Calcium_Handling_258,Curated_258,VGCC,Curated_258:VGCC
CACNA2D3,CACNA2D3,Tier3_Curated_Calcium_Handling_258,Curated_258,VGCC,Curated_258:VGCC
CACNA2D4,CACNA2D4,Tier3_Curated_Calcium_Handling_258,Curated_258,VGCC,Curated_258:VGCC
CACNB1,CACNB1,Tier3_Curated_Calcium_Handling_258,Curated_258,VGCC,Curated_258:VGCC
CACNB2,CACNB2,Tier3_Curated_Calcium_Handling_258,Curated_258,VGCC,Curated_258:VGCC
CACNB3,CACNB3,Tier3_Curated_Calcium_Handling_258,Curated_258,VGCC,Curated_258:VGCC
CACNB4,CACNB4,Tier3_Curated_Calcium_Handling_258,Curated_258,VGCC,Curated_258:VGCC
CACNG1,CACNG1,Tier3_Curated_Calcium_Handling_258,Curated_258,VGCC,Curated_258:VGCC
CACNG2,CACNG2,Tier3_Curated_Calcium_Handling_258,Curated_258,VGCC,Curated_258:VGCC
CACNG3,CACNG3,Tier3_Curated_Calcium_Handling_258,Curated_258,VGCC,Curated_258:VGCC
CACNG4,CACNG4,Tier3_Curated_Calcium_Handling_258,Curated_258,VGCC,Curated_258:VGCC
CACNG5,CACNG5,Tier3_Curated_Calcium_Handling_258,Curated_258,VGCC,Curated_258:VGCC
CACNG6,CACNG6,Tier3_Curated_Calcium_Handling_258,Curated_258,VGCC,Curated_258:VGCC
CACNG7,CACNG7,Tier3_Curated_Calcium_Handling_258,Curated_258,VGCC,Curated_258:VGCC
CACNG8,CACNG8,Tier3_Curated_Calcium_Handling_258,Curated_258,VGCC,Curated_258:VGCC
CALB1,CALB1,Tier3_Curated_Calcium_Handling_258,Curated_258,Ca_sensors,Curated_258:Ca_sensors
CALB2,CALB2,Tier3_Curated_Calcium_Handling_258,Curated_258,Ca_sensors,Curated_258:Ca_sensors
CALHM1,CALHM1,Tier3_Curated_Calcium_Handling_258,Curated_258,SOCE_modulators,Curated_258:SOCE_modulators
CALHM2,CALHM2,Tier3_Curated_Calcium_Handling_258,Curated_258,SOCE_modulators,Curated_258:SOCE_modulators
CALM1,CALM1,Tier3_Curated_Calcium_Handling_258,Curated_258,CaM_CaMK,Curated_258:CaM_CaMK
CALM2,CALM2,Tier3_Curated_Calcium_Handling_258,Curated_258,CaM_CaMK,Curated_258:CaM_CaMK
CALM3,CALM3,Tier3_Curated_Calcium_Handling_258,Curated_258,CaM_CaMK,Curated_258:CaM_CaMK
CALML3,CALML3,Tier3_Curated_Calcium_Handling_258,Curated_258,CaM_CaMK,Curated_258:CaM_CaMK
CALML4,CALML4,Tier3_Curated_Calcium_Handling_258,Curated_258,CaM_CaMK,Curated_258:CaM_CaMK
CALML5,CALML5,Tier3_Curated_Calcium_Handling_258,Curated_258,CaM_CaMK,Curated_258:CaM_CaMK
CALML6,CALML6,Tier3_Curated_Calcium_Handling_258,Curated_258,CaM_CaMK,Curated_258:CaM_CaMK
CALR,CALR,Tier3_Curated_Calcium_Handling_258,Curated_258,Ca_sensors,Curated_258:Ca_sensors
CAMK1,CAMK1,Tier3_Curated_Calcium_Handling_258,Curated_258,CaM_CaMK,Curated_258:CaM_CaMK
CAMK1D,CAMK1D,Tier3_Curated_Calcium_Handling_258,Curated_258,CaM_CaMK,Curated_258:CaM_CaMK
CAMK1G,CAMK1G,Tier3_Curated_Calcium_Handling_258,Curated_258,CaM_CaMK,Curated_258:CaM_CaMK
