gene,gene_upper,panel,source_lists,categories,source_evidence
CACNG2,CACNG2,Tier2_Channel_Release_Transport_117,Curated_258,VGCC,Curated_258:VGCC
CACNG3,CACNG3,Tier2_Channel_Release_Transport_117,Curated_258,VGCC,Curated_258:VGCC
CACNG4,CACNG4,Tier2_Channel_Release_Transport_117,Curated_258,VGCC,Curated_258:VGCC
CACNG5,CACNG5,Tier2_Channel_Release_Transport_117,Curated_258,VGCC,Curated_258:VGCC
CACNG6,CACNG6,Tier2_Channel_Release_Transport_117,Curated_258,VGCC,Curated_258:VGCC
CACNG7,CACNG7,Tier2_Channel_Release_Transport_117,Curated_258,VGCC,Curated_258:VGCC
CACNG8,CACNG8,Tier2_Channel_Release_Transport_117,Curated_258,VGCC,Curated_258:VGCC
CALHM1,CALHM1,Tier2_Channel_Release_Transport_117,Curated_258,SOCE_modulators,Curated_258:SOCE_modulators
CALHM2,CALHM2,Tier2_Channel_Release_Transport_117,Curated_258,SOCE_modulators,Curated_258:SOCE_modulators
CBARP,CBARP,Tier2_Channel_Release_Transport_117,Curated_258,SOCE_modulators,Curated_258:SOCE_modulators
CHERP,CHERP,Tier2_Channel_Release_Transport_117,Curated_258,SOCE_modulators,Curated_258:SOCE_modulators
CRACR2A,CRACR2A,Tier2_Channel_Release_Transport_117,Curated_258,SOCE_core,Curated_258:SOCE_core
CRACR2B,CRACR2B,Tier2_Channel_Release_Transport_117,Curated_258,SOCE_core,Curated_258:SOCE_core
ESYT1,ESYT1,Tier2_Channel_Release_Transport_117,Curated_258,SOCE_modulators,Curated_258:SOCE_modulators
ESYT2,ESYT2,Tier2_Channel_Release_Transport_117,Curated_258,SOCE_modulators,Curated_258:SOCE_modulators
ESYT3,ESYT3,Tier2_Channel_Release_Transport_117,Curated_258,SOCE_modulators,Curated_258:SOCE_modulators
GRIN1,GRIN1,Tier2_Channel_Release_Transport_117,Curated_258,PM_channels_other,Curated_258:PM_channels_other
GRIN2A,GRIN2A,Tier2_Channel_Release_Transport_117,Curated_258,PM_channels_other,Curated_258:PM_channels_other
GRIN2B,GRIN2B,Tier2_Channel_Release_Transport_117,Curated_258,PM_channels_other,Curated_258:PM_channels_other
GRIN2C,GRIN2C,Tier2_Channel_Release_Transport_117,Curated_258,PM_channels_other,Curated_258:PM_channels_other
GRIN2D,GRIN2D,Tier2_Channel_Release_Transport_117,Curated_258,PM_channels_other,Curated_258:PM_channels_other
INPP5K,INPP5K,Tier2_Channel_Release_Transport_117,Curated_258,PLC_IP3,Curated_258:PLC_IP3
ITPKA,ITPKA,Tier2_Channel_Release_Transport_117,Curated_258,PLC_IP3,Curated_258:PLC_IP3
ITPKB,ITPKB,Tier2_Channel_Release_Transport_117,Curated_258,PLC_IP3,Curated_258:PLC_IP3
ITPKC,ITPKC,Tier2_Channel_Release_Transport_117,Curated_258,PLC_IP3,Curated_258:PLC_IP3
ITPR1,ITPR1,Tier2_Channel_Release_Transport_117,Curated_258,ER_channels,Curated_258:ER_channels
ITPR2,ITPR2,Tier2_Channel_Release_Transport_117,Curated_258,ER_channels,Curated_258:ER_channels
ITPR3,ITPR3,Tier2_Channel_Release_Transport_117,Curated_258,ER_channels,Curated_258:ER_channels
MCOLN1,MCOLN1,Tier2_Channel_Release_Transport_117,Curated_258,TRP_channels,Curated_258:TRP_channels
MCOLN2,MCOLN2,Tier2_Channel_Release_Transport_117,Curated_258,TRP_channels,Curated_258:TRP_channels
MCOLN3,MCOLN3,Tier2_Channel_Release_Transport_117,Curated_258,TRP_channels,Curated_258:TRP_channels
