gene,gene_upper,panel,source_lists,categories,source_evidence
CAPNS1,CAPNS1,Tier4_Expanded_Calcium_Associated_732,Curated_258,Calpains,Curated_258:Calpains
CASQ1,CASQ1,Tier4_Expanded_Calcium_Associated_732,Calcium_genes_analysis;Curated_258;KEGG_calcium_cAMP,Calcium signaling pathway;ER_Calcium;Junctional,Calcium_genes_analysis:ER_Calcium;Curated_258:Junctional;KEGG_calcium_cAMP:Calcium signaling pathway
CASQ2,CASQ2,Tier4_Expanded_Calcium_Associated_732,Calcium_genes_analysis;Curated_258;KEGG_calcium_cAMP,Calcium signaling pathway;ER_Calcium;Junctional,Calcium_genes_analysis:ER_Calcium;Curated_258:Junctional;KEGG_calcium_cAMP:Calcium signaling pathway
CAST,CAST,Tier4_Expanded_Calcium_Associated_732,Categorized_calcium;Galaxy_STAR_calcium,Calpains;Galaxy_STAR_calcium,Categorized_calcium:Calpains;Galaxy_STAR_calcium:Galaxy_STAR_calcium
CBARP,CBARP,Tier4_Expanded_Calcium_Associated_732,Curated_258,SOCE_modulators,Curated_258:SOCE_modulators
CCDC47,CCDC47,Tier4_Expanded_Calcium_Associated_732,Categorized_calcium;Galaxy_STAR_calcium,Galaxy_STAR_calcium;Other Ca-related,Categorized_calcium:Other Ca-related;Galaxy_STAR_calcium:Galaxy_STAR_calcium
CCKAR,CCKAR,Tier4_Expanded_Calcium_Associated_732,KEGG_calcium_cAMP,Calcium signaling pathway,KEGG_calcium_cAMP:Calcium signaling pathway
CCKBR,CCKBR,Tier4_Expanded_Calcium_Associated_732,KEGG_calcium_cAMP,Calcium signaling pathway,KEGG_calcium_cAMP:Calcium signaling pathway
CD38,CD38,Tier4_Expanded_Calcium_Associated_732,KEGG_calcium_cAMP,Calcium signaling pathway,KEGG_calcium_cAMP:Calcium signaling pathway
CETN1,CETN1,Tier4_Expanded_Calcium_Associated_732,Curated_258,Ca_sensors,Curated_258:Ca_sensors
CETN2,CETN2,Tier4_Expanded_Calcium_Associated_732,Curated_258,Ca_sensors,Curated_258:Ca_sensors
CETN3,CETN3,Tier4_Expanded_Calcium_Associated_732,Curated_258,Ca_sensors,Curated_258:Ca_sensors
CFTR,CFTR,Tier4_Expanded_Calcium_Associated_732,KEGG_calcium_cAMP,cAMP signaling pathway,KEGG_calcium_cAMP:cAMP signaling pathway
CGA,CGA,Tier4_Expanded_Calcium_Associated_732,KEGG_calcium_cAMP,cAMP signaling pathway,KEGG_calcium_cAMP:cAMP signaling pathway
CHERP,CHERP,Tier4_Expanded_Calcium_Associated_732,Curated_258,SOCE_modulators,Curated_258:SOCE_modulators
CHRFAM7A,CHRFAM7A,Tier4_Expanded_Calcium_Associated_732,KEGG_calcium_cAMP,Calcium signaling pathway,KEGG_calcium_cAMP:Calcium signaling pathway
CHRM1,CHRM1,Tier4_Expanded_Calcium_Associated_732,KEGG_calcium_cAMP,Calcium signaling pathway,KEGG_calcium_cAMP:Calcium signaling pathway
CHRM2,CHRM2,Tier4_Expanded_Calcium_Associated_732,KEGG_calcium_cAMP,Calcium signaling pathway,KEGG_calcium_cAMP:Calcium signaling pathway
CHRM3,CHRM3,Tier4_Expanded_Calcium_Associated_732,KEGG_calcium_cAMP,Calcium signaling pathway,KEGG_calcium_cAMP:Calcium signaling pathway
CHRM5,CHRM5,Tier4_Expanded_Calcium_Associated_732,KEGG_calcium_cAMP,Calcium signaling pathway,KEGG_calcium_cAMP:Calcium signaling pathway
CHRNA7,CHRNA7,Tier4_Expanded_Calcium_Associated_732,KEGG_calcium_cAMP,Calcium signaling pathway,KEGG_calcium_cAMP:Calcium signaling pathway
CLDN15,CLDN15,Tier4_Expanded_Calcium_Associated_732,Categorized_calcium;Galaxy_STAR_calcium,Galaxy_STAR_calcium;Other Ca-related,Categorized_calcium:Other Ca-related;Galaxy_STAR_calcium:Galaxy_STAR_calcium
CLN3,CLN3,Tier4_Expanded_Calcium_Associated_732,Categorized_calcium;Galaxy_STAR_calcium,Galaxy_STAR_calcium;Other Ca-related,Categorized_calcium:Other Ca-related;Galaxy_STAR_calcium:Galaxy_STAR_calcium
CNGA1,CNGA1,Tier4_Expanded_Calcium_Associated_732,KEGG_calcium_cAMP,cGMP-PKG signaling pathway,KEGG_calcium_cAMP:cGMP-PKG signaling pathway
CNGA2,CNGA2,Tier4_Expanded_Calcium_Associated_732,KEGG_calcium_cAMP,cAMP signaling pathway,KEGG_calcium_cAMP:cAMP signaling pathway
CNGA3,CNGA3,Tier4_Expanded_Calcium_Associated_732,KEGG_calcium_cAMP,cAMP signaling pathway,KEGG_calcium_cAMP:cAMP signaling pathway
CNGA4,CNGA4,Tier4_Expanded_Calcium_Associated_732,KEGG_calcium_cAMP,cAMP signaling pathway,KEGG_calcium_cAMP:cAMP signaling pathway
CNGB1,CNGB1,Tier4_Expanded_Calcium_Associated_732,KEGG_calcium_cAMP,cGMP-PKG signaling pathway,KEGG_calcium_cAMP:cGMP-PKG signaling pathway
CNGB3,CNGB3,Tier4_Expanded_Calcium_Associated_732,KEGG_calcium_cAMP,cAMP signaling pathway,KEGG_calcium_cAMP:cAMP signaling pathway
COX7B,COX7B,Tier4_Expanded_Calcium_Associated_732,Categorized_calcium;Galaxy_STAR_calcium,Galaxy_STAR_calcium;Other Ca-related,Categorized_calcium:Other Ca-related;Galaxy_STAR_calcium:Galaxy_STAR_calcium
CPNE7,CPNE7,Tier4_Expanded_Calcium_Associated_732,Categorized_calcium;Galaxy_STAR_calcium,Galaxy_STAR_calcium;Other Ca-related,Categorized_calcium:Other Ca-related;Galaxy_STAR_calcium:Galaxy_STAR_calcium
CRACR2A,CRACR2A,Tier4_Expanded_Calcium_Associated_732,Curated_258;SOCE_core_manual,SOCE_core,Curated_258:SOCE_core;SOCE_core_manual:SOCE_core
CRACR2B,CRACR2B,Tier4_Expanded_Calcium_Associated_732,Curated_258;SOCE_core_manual,SOCE_core,Curated_258:SOCE_core;SOCE_core_manual:SOCE_core
